# Neutron scattering lengths, from https://github.com/pkienzle/periodictable
# isotope, real_scattering_length, imaginary_scattering_length
Zr, 7.16, -5.1446051167964405e-05
90-Zr, 6.5, -3.058954393770856e-06
91-Zr, 8.8, -0.0003253615127919911
92-Zr, 7.5, -6.117908787541713e-05
94-Zr, 8.3, -1.3876529477196886e-05
96-Zr, 5.5, -6.3681868743047835e-06
Nb, 7.054, -0.0003197997775305895
93-Nb, 7.054, -0.0003197997775305895
Mo, 6.715, -0.000689655172413793
92-Mo, 6.93, -5.28364849833148e-06
94-Mo, 6.82, -4.171301446051168e-06
95-Mo, 6.93, -0.00364293659621802
96-Mo, 6.22, -0.00013904338153503893
97-Mo, 7.26, -0.0006952169076751947
98-Mo, 6.6, -3.531701890989989e-05
100-Mo, 6.75, -0.00011123470522803115
Tc, 6.8, -0.0055617352614015575
99-Tc, 6.8, -0.0055617352614015575
Ru, 7.02, -0.0007119021134593994
96-Ru, nan, -7.78642936596218e-05
98-Ru, nan, -0.002224694104560623
99-Ru, nan, -0.0019187986651835374
100-Ru, nan, -0.0013348164627363737
101-Ru, nan, -0.0009176863181312569
102-Ru, nan, -0.0003253615127919911
104-Ru, nan, -8.620689655172413e-05
Rh, 5.9, -0.04026696329254728
103-Rh, 5.9, -0.04026696329254728
Pd, 5.91, -0.0019187986651835374
102-Pd, 7.7, -0.0009454949944382648
104-Pd, 7.7, -0.0001668520578420467
105-Pd, 5.5, -0.0055617352614015575
106-Pd, 6.4, -8.453837597330367e-05
108-Pd, 4.1, -0.002363737486095662
110-Pd, 7.7, -6.28476084538376e-05
Ag, 5.922, -0.017602892102335926
107-Ag, 7.555, -0.010456062291434929
109-Ag, 4.165, -0.025305895439377085
Cd, 4.83, -0.7007786429365962
106-Cd, 5.0, -0.00027808676307007786
108-Cd, 5.31, -0.0003058954393770857
110-Cd, 5.78, -0.0030589543937708566
111-Cd, 6.47, -0.006674082313681869
112-Cd, 6.34, -0.0006117908787541714
113-Cd, -8.0, -5.728587319243604
114-Cd, 7.48, -9.454949944382648e-05
116-Cd, 6.26, -2.085650723025584e-05
In, 4.065, -0.05389321468298109
113-In, 5.39, -0.0033370411568409346
115-In, 4.0, -0.05617352614015573
Sn, 6.225, -0.00017408231368186875
112-Sn, 6.0, -0.00027808676307007786
114-Sn, 6.0, -3.1701890989988874e-05
115-Sn, 6.0, -0.008342602892102336
116-Sn, 6.1, -3.89321468298109e-05
117-Sn, 6.59, -0.000639599555061179
118-Sn, 6.23, -6.117908787541713e-05
119-Sn, 6.28, -0.0006117908787541714
120-Sn, 6.67, -3.89321468298109e-05
122-Sn, 5.93, -5.005561735261401e-05
124-Sn, 6.15, -3.6985539488320356e-05
Sb, 5.57, -0.0013654060066740823
121-Sb, 5.71, -0.0015989988876529478
123-Sb, 5.38, -0.0010567296996662958
Te, 5.68, -0.001307007786429366
120-Te, 5.3, -0.000639599555061179
122-Te, 3.8, -0.0009454949944382648
123-Te, -0.05, -0.11624026696329255
124-Te, 7.95, -0.0018909899888765295
125-Te, 5.01, -0.0004310344827586207
126-Te, 5.55, -0.00028921023359288096
128-Te, 5.88, -5.978865406006674e-05
130-Te, 6.01, -8.064516129032258e-05
I, 5.28, -0.001710233592880979
127-I, 5.28, -0.001710233592880979
Xe, 4.69, -0.006646273637374861
124-Xe, nan, -0.04588431590656285
126-Xe, nan, -0.0009733036707452725
128-Xe, nan, -0.002224694104560623
129-Xe, nan, -0.005839822024471635
130-Xe, nan, -0.007230255839822024
131-Xe, nan, -0.023637374860956618
132-Xe, nan, -0.00012513904338153504
134-Xe, nan, -7.369299221357064e-05
136-Xe, nan, -7.230255839822024e-05
Cs, 5.42, -0.008064516129032258
133-Cs, 5.42, -0.008064516129032258
Ba, 5.07, -0.0003058954393770857
130-Ba, -3.6, -0.008342602892102336
132-Ba, 7.8, -0.001946607341490545
134-Ba, 5.7, -0.0005561735261401557
135-Ba, 4.66, -0.0016129032258064516
136-Ba, 4.9, -0.00018909899888765297
137-Ba, 6.82, -0.0010011123470522803
138-Ba, 4.83, -7.508342602892103e-05
La, 8.24, -0.0024944382647385985
138-La, 8.0, -0.01585094549499444
139-La, 8.24, -0.002483314794215795
Ce, 4.84, -0.00017519466073414905
136-Ce, 5.76, -0.0020300333704115683
138-Ce, 6.65, -0.0003058954393770857
140-Ce, 4.81, -0.00015850945494994437
142-Ce, 4.72, -0.00026418242491657394
Pr, 4.58, -0.0031979977753058956
141-Pr, 4.58, -0.0031979977753058956
Nd, 7.69, -0.014043381535038932
142-Nd, 7.7, -0.005200222469410456
143-Nd, 14.0, -0.09371523915461624
144-Nd, 2.8, -0.0010011123470522803
145-Nd, 14.0, -0.01167964404894327
146-Nd, 8.7, -0.000389321468298109
148-Nd, 5.7, -0.0006952169076751947
150-Nd, 5.28, -0.0003337041156840934
Pm, 12.6, -0.046829810901001113
147-Pm, 12.6, -0.046829810901001113
Sm, 0.0, -1.6468298109010011
144-Sm, -3.0, -0.0001946607341490545
147-Sm, 14.0, -0.01585094549499444
148-Sm, -3.0, -0.0006674082313681868
149-Sm, 18.7, -11.701890989988877
150-Sm, 14.0, -0.028921023359288096
152-Sm, -5.0, -0.05728587319243604
154-Sm, 8.0, -0.0023359288097886542
Eu, 5.3, -1.2597330367074526
151-Eu, nan, -2.5305895439377086
153-Eu, 8.22, -0.0867630700778643
Gd, 9.5, -13.82091212458287
152-Gd, 10.0, -0.20439377085650723
154-Gd, 10.0, -0.023637374860956618
155-Gd, 13.8, -16.991101223581758
156-Gd, 6.3, -0.0004171301446051168
157-Gd, 4.0, -72.02447163515016
158-Gd, 9.0, -0.0006117908787541714
160-Gd, 9.15, -0.00021412680756395996
Tb, 7.34, -0.006507230255839822
159-Tb, 7.34, -0.006507230255839822
Dy, 16.9, -0.2764182424916574
156-Dy, 6.1, -0.00917686318131257
158-Dy, 6.0, -0.011957730812013349
160-Dy, 6.7, -0.01557285873192436
161-Dy, 10.3, -0.1668520578420467
162-Dy, -1.4, -0.053948832035595105
163-Dy, 5.0, -0.034482758620689655
164-Dy, 49.4, -0.7897664071190211
Ho, 8.44, -0.01799221357063404
165-Ho, 8.44, -0.01799221357063404
Er, 7.79, -0.044215795328142384
162-Er, 9.01, -0.0052836484983314795
164-Er, 7.95, -0.003615127919911012
166-Er, 10.51, -0.005450500556173526
167-Er, 3.06, -0.1832591768631813
168-Er, 7.43, -0.0007619577308120134
170-Er, 9.61, -0.0016129032258064516
Tm, 7.07, -0.027808676307007785
169-Tm, 7.07, -0.027808676307007785
Yb, 12.41, -0.009677419354838708
168-Yb, -4.07, -0.6201334816462737
170-Yb, 6.8, -0.0031701890989988876
171-Yb, 9.7, -0.013515016685205784
172-Yb, 9.5, -0.0002224694104560623
173-Yb, 9.56, -0.004755283648498332
174-Yb, 19.2, -0.019299221357063405
176-Yb, 8.7, -0.0007925472747497219
Lu, 7.21, -0.020578420467185762
175-Lu, 7.28, -0.005839822024471635
176-Lu, 6.1, -0.5742491657397107
Hf, 7.77, -0.028948832035595104
174-Hf, 10.9, -0.1560066740823137
176-Hf, 6.61, -0.00653503893214683
177-Hf, 0.8, -0.10372636262513904
178-Hf, 5.9, -0.02335928809788654
179-Hf, 7.46, -0.011401557285873193
180-Hf, 13.2, -0.003626251390433815
Ta, 6.91, -0.005728587319243604
180-Ta, 7.0, -0.15656284760845385
181-Ta, 6.91, -0.005700778642936596
W, 4.755, -0.005088987764182425
180-W, 5.0, -0.008342602892102336
182-W, 7.04, -0.005756395995550612
183-W, 6.59, -0.0028086763070077863
184-W, 7.55, -0.0004727474972191324
186-W, -0.73, -0.010539488320355951
Re, 9.2, -0.024944382647385986
185-Re, 9.0, -0.03114571746384872
187-Re, 9.3, -0.021245828698553952
Os, 10.7, -0.004449388209121246
184-Os, 10.0, -0.8342602892102335
186-Os, 12.0, -0.02224694104560623
187-Os, 10.0, -0.08898776418242492
188-Os, 7.8, -0.001307007786429366
189-Os, 11.0, -0.006952169076751946
190-Os, 11.4, -0.00364293659621802
192-Os, 11.9, -0.0005561735261401557
Ir, 10.6, -0.1181868743047831
191-Ir, nan, -0.26529477196885426
193-Ir, nan, -0.030867630700778644
Pt, 9.6, -0.002864293659621802
190-Pt, 9.0, -0.042269187986651836
192-Pt, 9.9, -0.0027808676307007787
194-Pt, 10.55, -0.0004004449388209121
