Element,  Z,   dZ,       a1,       a2,        a3,        a4,        a5,        b1,        b2,     b3,        b4,      b5
V3+,      23, -3,      0.341E+0, 0.805E+0, 0.942E+0,  0.783E-1,  0.156E+0,  0.321E+0, 0.223E+1, 0.599E+1, 0.134E+2, 0.169E+2
V5+,      23, -5,      0.367E-1, 0.124E+0, 0.244E+0,  0.723E+0,  0.435E+0,  0.330E-1, 0.222E+0, 0.824E+0, 0.280E+1, 0.670E+1
Cr,       24, 0.0,     0.4046,   1.3696,   1.8941,    2.0800,    1.2196,    0.2986,   2.3958,   9.1406,   37.4701,  113.7121
Cr2+,     24, -2,      0.237E+0, 0.634E+0, 0.123E+1,  0.713E+0,  0.859E-1,  0.177E+0, 0.135E+1, 0.430E+1, 0.122E+2, 0.390E+2
Cr3+,     24, -3,      0.393E+0, 0.105E+1, 0.162E+1,  -0.115E+1, 0.407E+0,  0.359E+0, 0.257E+1, 0.868E+1, 0.110E+2, 0.158E+2
Cr4+,     24, -4,      0.132E+0, 0.292E+0, 0.703E+0,  0.692E+0,  0.959E-1,  0.109E+0, 0.695E+0, 0.239E+1, 0.565E+1, 0.147E+2
Mn,       25, 0.0,     0.3796,   1.2094,   1.7815,    2.5420,    1.5937,    0.2699,   2.0455,   7.4726,   31.0604,  91.5622
Mn2+,     25, -2,      0.576E-1, 0.210E+0, 0.604E+0,  0.132E+1,  0.659E+0,  0.398E-1, 0.284E+0, 0.129E+1, 0.423E+1, 0.145E+2
Mn3+,     25, -3,      0.116E+0, 0.523E+0, 0.881E+0,  0.589E+0,  0.214E+0,  0.117E-1, 0.876E+0, 0.306E+1, 0.644E+1, 0.143E+2
Mn4+,     25, -4,      0.381E+0, 0.183E+1, -0.133E+1, 0.995E+0,  0.618E-1,  0.354E+0, 0.272E+1, 0.347E+1, 0.547E+1, 0.161E+2
Fe,       26, 0.0,     0.3946,   1.2725,   1.7031,    2.3140,    1.4795,    0.2717,   2.0443,   7.6007,   29.9714,  86.2265
Fe2+,     26, -2,      0.307E+0, 0.838E+0, 0.111E+1,  0.280E+0,  0.277E+0,  0.230E+0, 0.162E+1, 0.487E+1, 0.107E+2, 0.192E+2
Fe3+,     26, -3,      0.198E+0, 0.387E+0, 0.889E+0,  0.709E+0,  0.117E+0,  0.154E+0, 0.893E+0, 0.262E+1, 0.665E+1, 0.180E+2
Co,       27, 0.0,     0.4118,   1.3161,   1.6493,    2.1930,    1.2830,    0.2742,   2.0372,   7.7205,   29.9680,  84.9383
Co2+,     27, -2,      0.213E+0, 0.488E+0, 0.998E+0,  0.828E+0,  0.230E+0,  0.148E+0, 0.939E+0, 0.278E+1, 0.731E+1, 0.207E+2
Co3+,     27, -3,      0.331E+0, 0.487E+0, 0.729E+0,  0.608E+0,  0.131E+0,  0.267E+0, 0.141E+1, 0.289E+1, 0.645E+1, 0.158E+2
Ni,       28, 0.0,     0.3860,   1.1765,   1.5451,    2.0730,    1.3814,    0.2478,   1.7660,   6.3107,   25.2204,  74.3146
Ni2+,     28, -2,      0.338E+0, 0.982E+0, 0.132E+1,  -0.356E+1, 0.362E+1,  0.237E+0, 0.167E+1, 0.573E+1, 0.114E+2, 0.121E+2
Ni3+,     28, -3,      0.347E+0, 0.877E+0, 0.790E+0,  0.538E-1,  0.192E+0,  0.260E+0, 0.171E+1, 0.475E+1, 0.751E+1, 0.130E+2
Cu,       29, 0.0,     0.4314,   1.3208,   1.5236,    1.4671,    0.8562,    0.2694,   1.9223,   7.3474,   28.9892,  90.6246
Cu1+,     29, -1,      0.312E+0, 0.812E+0, 0.111E+1,  0.794E+0,  0.257E+0,  0.201E+0, 0.131E+1, 0.380E+1, 0.105E+2, 0.282E+2
Cu2+,     29, -2,      0.224E+0, 0.544E+0, 0.970E+0,  0.727E+0,  0.182E+0,  0.145E+0, 0.933E+0, 0.269E+1, 0.711E+1, 0.194E+2
Zn,       30, 0.0,     0.4288,   1.2646,   1.4472,    1.8294,    1.0934,    0.2593,   1.7998,   6.7500,   25.5860,  73.5284
Zn2+,     30, -2,      0.252E+0, 0.600E+0, 0.917E+0,  0.663E+0,  0.161E+0,  0.161E+0, 0.101E+1, 0.276E+1, 0.708E+1, 0.190E+2
Ga,       31, 0.0,     0.4818,   1.4032,   1.6561,    2.4605,    1.1054,    0.2825,   1.9785,   8.7546,   32.5238,  98.5523
Ga3+,     31, -3,      0.391E+0, 0.947E+0, 0.690E+0,  0.709E-1,  0.653E-1,  0.264E+0, 0.165E+1, 0.482E+1, 0.107E+2, 0.152E+2
Ge,       32, 0.0,     0.4655,   1.3014,   1.6088,    2.6998,    1.3003,    0.2647,   1.7926,   7.6071,   26.5541,  77.5238
Ge4+,     32, -4,      0.346E+0, 0.830E+0, 0.599E+0,  0.949E-1,  -0.217E-1, 0.232E+0, 0.145E+1, 0.408E+1, 0.132E+2, 0.295E+2
As,       33, 0.0,     0.4517,   1.2229,   1.5852,    2.7958,    1.2638,    0.2493,   1.6436,   6.8154,   22.3681,  62.0390
Se,       34, 0.0,     0.4477,   1.1678,   1.5843,    2.8087,    1.1956,    0.2405,   1.5442,   6.3231,   19.4610,  52.0233
Br1-,     35, +1,      0.125E+0, 0.563E+0, 0.143E+1,  0.352E+1,  0.322E+1,  0.530E-1, 0.469E+0, 0.215E+1, 0.111E+2, 0.389E+2
Br,       35, 0.0,     0.4798,   1.1948,   1.8695,    2.6953,    0.8203,    0.2504,   1.5963,   6.9653,   19.8492,  50.3233
Br1+,     37, -1,      0.368E+0, 0.884E+0, 0.114E+1,  0.226E+1,  0.881E+0,  0.187E+0, 0.112E+1, 0.398E+1, 0.109E+2, 0.266E+2
Kr,       36, 0.0,     0.4546,   1.0993,   1.7696,    2.7068,    0.8672,    0.2309,   1.4279,   5.9449,   16.6752,  42.2243
Rb,       37, 0.0,     1.0160,   2.8528,   3.5466,    -7.7804,   12.1148,   0.4853,   5.0925,   25.7851,  130.4515, 138.6775
Sr,       38, 0.0,     0.6703,   1.4926,   3.3368,    4.4600,    3.1501,    0.3190,   2.2287,   10.3504,  52.3291,  151.2216
Sr2+,     38, -2,      0.346E+0, 0.804E+0, 0.988E+0,  0.189E+1,  0.609E+0,  0.176E+0, 0.104E+1, 0.359E+1, 0.932E+1, 0.214E+2
Y,        39, 0.0,     0.6894,   1.5474,   3.2450,    4.2126,    2.9764,    0.3189,   2.2904,   10.0062,  44.0771,  125.0120
