Element,  Z,   dZ,       a1,       a2,        a3,        a4,        a5,        b1,        b2,     b3,        b4,      b5
Ir4+,     77, -4,      0.653E+0, 0.129E+1, 0.150E+1,  0.174E+1,  0.683E+0,  0.174E+0, 0.992E+0, 0.314E+1, 0.722E+1, 0.172E+2
Pt,       78, 0.0,     0.9148,   1.8096,   3.2134,    3.2953,    1.5754,    0.2263,   1.3813,   5.3243,   17.5987,  60.0171
Pt2+,     78, -2,      0.872E+0, 0.168E+1, 0.263E+1,  0.193E+1,  0.475E+0,  0.223E+0, 0.135E+1, 0.499E+1, 0.136E+2, 0.330E+2
Pt4+,     78, -4,      0.550E+0, 0.121E+1, 0.162E+1,  0.195E+1,  0.610E+0,  0.142E+0, 0.833E+0, 0.281E+1, 0.721E+1, 0.177E+2
Au,       79, 0.0,     0.9674,   1.8916,   3.3993,    3.0524,    1.2607,    0.2358,   1.4712,   5.6758,   18.7119,  61.5286
Au1+,     79, -1,      0.811E+0, 0.157E+1, 0.263E+1,  0.268E+1,  0.998E+0,  0.201E+0, 0.118E+1, 0.425E+1, 0.121E+2, 0.344E+2
Au3+,     79, -3,      0.722E+0, 0.139E+1, 0.194E+1,  0.194E+1,  0.699E+0,  0.184E+0, 0.106E+1, 0.358E+1, 0.856E+1, 0.204E+2
Hg,       80, 0.0,     1.0033,   1.9469,   3.4396,    3.1548,    1.4180,    0.2413,   1.5298,   5.8009,   19.4520,  60.5753
Hg1+,     80, -1,      0.796E+0, 0.156E+1, 0.272E+1,  0.276E+1,  0.118E+1,  0.194E+0, 0.114E+1, 0.421E+1, 0.124E+2, 0.362E+2
Hg2+,     80, -2,      0.773E+0, 0.149E+1, 0.245E+1,  0.223E+1,  0.570E+0,  0.191E+0, 0.112E+1, 0.400E+1, 0.108E+2, 0.276E+2
Tl,       81, 0.0,     1.0689,   2.1038,   3.6039,    3.4927,    1.8283,    0.2540,   1.6715,   6.3509,   23.1531,  78.7099
Tl1+,     81, -1,      0.820E+0, 0.157E+1, 0.278E+1,  0.282E+1,  0.131E+1,  0.197E+0, 0.116E+1, 0.423E+1, 0.127E+2, 0.357E+2
Tl3+,     81, -3,      0.836E+0, 0.143E+1, 0.394E+0,  0.251E+1,  0.150E+1,  0.208E+0, 0.120E+1, 0.257E+1, 0.486E+1, 0.135E+2
Pb,       82, 0.0,     1.0891,   2.1867,   3.6160,    3.8031,    1.8994,    0.2552,   1.7174,   6.5131,   23.9170,  74.7039
Pb2+,     82, -2,      0.755E+0, 0.144E+1, 0.248E+1,  0.245E+1,  0.103E+1,  0.181E+0, 0.105E+1, 0.375E+1, 0.106E+2, 0.279E+2
Pb4+,     82, -4,      0.583E+0, 0.114E+1, 0.160E+1,  0.206E+1,  0.662E+0,  0.144E+0, 0.796E+0, 0.258E+1, 0.622E+1, 0.148E+2
Bi,       83, 0.0,     1.1007,   2.2306,   3.5689,    4.1549,    2.0382,    0.2546,   1.7351,   6.4948,   23.6464,  70.3780
Bi3+,     83, -3,      0.708E+0, 0.135E+1, 0.228E+1,  0.218E+1,  0.797E+0,  0.170E+0, 0.981E+0, 0.344E+1, 0.941E+1, 0.237E+2
Bi5+,     83, -5,      0.654E+0, 0.118E+1, 0.125E+1,  0.166E+1,  0.778E+0,  0.162E+0, 0.905E+0, 0.268E+1, 0.514E+1, 0.112E+2
Po,       84, 0.0,     1.1568,   2.4353,   3.6459,    4.4064,    1.7179,    0.2648,   1.8786,   7.1749,   25.1766,  69.2821
At,       85, 0.0,     1.0909,   2.1976,   3.3831,    4.6700,    2.1277,    0.2466,   1.6707,   6.0197,   20.7657,  57.2663
Rn,       86, 0.0,     1.0756,   2.1630,   3.3178,    4.8852,    2.0489,    0.2402,   1.6169,   5.7644,   19.4568,  52.5009
Fr,       87, 0.0,     1.4282,   3.5081,   5.6767,    4.1964,    3.8946,    0.3183,   2.6889,   13.4816,  54.3866,  200.8321
Ra,       88, 0.0,     1.3127,   3.1243,   5.2988,    5.3891,    5.4133,    0.2887,   2.2897,   10.8276,  43.5389,  145.6109
Ra2+,     88, -2,      0.911E+0, 0.165E+1, 0.253E+1,  0.362E+1,  0.158E+1,  0.204E+0, 0.126E+1, 0.403E+1, 0.126E+2, 0.300E+2
Ac,       89, 0.0,     1.3128,   3.1021,   5.3385,    5.9611,    4.7562,    0.2861,   2.2509,   10.5287,  41.7796,  128.2973
Ac3+,     89, -3,      0.915E+0, 0.164E+1, 0.226E+1,  0.318E+1,  0.125E+1,  0.205E+0, 0.128E+1, 0.392E+1, 0.113E+2, 0.251E+2
Th,       90, 0.0,     1.2553,   2.9178,   5.0862,    6.1206,    4.7122,    0.2701,   2.0636,   9.3051,   34.5977,  107.9200
Pa,       91, 0.0,     1.3218,   3.1444,   5.4371,    5.6444,    4.0107,    0.2827,   2.2250,   10.2454,  41.1162,  124.4449
U,        92, 0.0,     1.3382,   3.2043,   5.4558,    5.4839,    3.6342,    0.2838,   2.2452,   10.2519,  41.7251,  124.9023
U3+,      92, -3,      0.114E+1, 0.248E+1, 0.361E+1,  0.113E+1,  0.900E+0,  0.250E+0, 0.184E+1, 0.739E+1, 0.180E+2, 0.227E+2
U4+,      92, -4,      0.109E+1, 0.232E+1, 0.120E+2,  -0.911E+1, 0.215E+1,  0.243E+0, 0.175E+1, 0.779E+1, 0.831E+1, 0.165E+2
U6+,      92, -6,      0.687E+0, 0.114E+1, 0.183E+1,  0.253E+1,  0.957E+0,  0.154E+0, 0.861E+0, 0.258E+1, 0.770E+1, 0.159E+2
Np,       93, 0.0,     1.5193,   4.0053,   6.5327,   -0.1402,   6.7489,    0.3213,   2.8206,   14.8878,  68.9103,  81.7257
Pu,       94, 0.0,     1.3517,   3.2937,   5.3213,    4.6466,    3.5714,    0.2813,   2.2418,   9.9952,   42.7939,  132.1739
Am,       95, 0.0,     1.2135,   2.7962,   4.7545,    4.5731,    4.4786,    0.2483,   1.8437,   7.5421,   29.3841,  112.4579
Cm,       96, 0.0,     1.2937,   3.1100,   5.0393,    4.7546,    3.5031,    0.2638,   2.0341,   8.7101,   35.2992,  109.4972
Bk,       97, 0.0,     1.2915,   3.1023,   4.9309,    4.6009,    3.4661,    0.2611,   2.0023,   8.4377,   34.1559,  105.8911
Cf,       98, 0.0,     1.2089,   2.7391,   4.3482,    4.0047,    4.6497,    0.2421,   1.7487,   6.7262,   23.2153,  80.3108
