# International Tables for Crystallography Volume C, Section 4.4.4. Scattering lengths for neutrons by V. F. Sears
# Element, real bound coherent scattering length [fm], imaginary bound coherent scattering length [fm]
123-Te, -0.05, -0.116
124-Te, 7.96, 0.0
125-Te, 5.02, 0.0
126-Te, 5.56, 0.0
128-Te, 5.89, 0.0
130-Te, 6.02, 0.0
I, 5.28, 0.0
127-I, 5.28, 0.0
Xe, 4.92, 0.0
Cs, 5.42, 0.0
133-Cs, 5.42, 0.0
Ba, 5.07, 0.0
130-Ba, -3.6, 0.0
132-Ba, 7.8, 0.0
134-Ba, 5.7, 0.0
135-Ba, 4.67, 0.0
136-Ba, 4.91, 0.0
137-Ba, 6.83, 0.0
138-Ba, 4.84, 0.0
La, 8.24, 0.0
138-La, 8.0, 0.0
139-La, 8.24, 0.0
Ce, 4.84, 0.0
136-Ce, 5.8, 0.0
138-Ce, 6.7, 0.0
140-Ce, 4.84, 0.0
142-Ce, 4.75, 0.0
Pr, 4.58, 0.0
141-Pr, 4.58, 0.0
Nd, 7.69, 0.0
142-Nd, 7.7, 0.0
143-Nd, 14.2, 0.0
144-Nd, 2.8, 0.0
145-Nd, 14.2, 0.0
146-Nd, 8.7, 0.0
148-Nd, 5.7, 0.0
150-Nd, 5.3, 0.0
Pm, 12.6, 0.0
147-Pm, 12.6, 0.0
Sm, 0.8, -1.65
144-Sm, -3.0, 0.0
147-Sm, 14.0, 0.0
148-Sm, -3.0, 0.0
149-Sm, -19.2, -11.7
150-Sm, 14.0, 0.0
152-Sm, -5.0, 0.0
154-Sm, 9.3, 0.0
Eu, 7.22, -1.26
151-Eu, 6.13, -2.53
153-Eu, 8.22, 0.0
Gd, 6.5, -13.82
152-Gd, 10.0, 0.0
154-Gd, 10.0, 0.0
155-Gd, 6.0, -17.0
156-Gd, 6.3, 0.0
157-Gd, -1.14, -71.9
158-Gd, 9.0, 0.0
160-Gd, 9.15, 0.0
Tb, 7.38, 0.0
159-Tb, 7.38, 0.0
Dy, 16.9, -0.276
156-Dy, 6.1, 0.0
158-Dy, 6.0, 0.0
160-Dy, 6.7, 0.0
161-Dy, 10.3, 0.0
162-Dy, -1.4, 0.0
163-Dy, 5.0, 0.0
164-Dy, 49.4, -0.79
Ho, 8.01, 0.0
165-Ho, 8.01, 0.0
Er, 7.79, 0.0
162-Er, 8.8, 0.0
164-Er, 8.2, 0.0
166-Er, 10.6, 0.0
167-Er, 3.0, 0.0
168-Er, 7.4, 0.0
170-Er, 9.6, 0.0
Tm, 7.07, 0.0
169-Tm, 7.07, 0.0
Yb, 12.43, 0.0
168-Yb, -4.07, -0.62
170-Yb, 6.77, 0.0
171-Yb, 9.66, 0.0
172-Yb, 9.43, 0.0
173-Yb, 9.56, 0.0
174-Yb, 19.3, 0.0
176-Yb, 8.72, 0.0
Lu, 7.21, 0.0
175-Lu, 7.24, 0.0
176-Lu, 6.1, -0.57
Hf, 7.77, 0.0
174-Hf, 10.9, 0.0
176-Hf, 6.61, 0.0
177-Hf, 0.8, 0.0
178-Hf, 5.9, 0.0
179-Hf, 7.46, 0.0
180-Hf, 13.2, 0.0
Ta, 6.91, 0.0
180-Ta, 7.0, 0.0
181-Ta, 6.91, 0.0
W, 4.86, 0.0
180-W, 5.0, 0.0
182-W, 6.97, 0.0
183-W, 6.53, 0.0
184-W, 7.48, 0.0
186-W, -0.72, 0.0
Re, 9.2, 0.0
185-Re, 9.0, 0.0
187-Re, 9.3, 0.0
Os, 10.7, 0.0
184-Os, 10.0, 0.0
186-Os, 11.6, 0.0
187-Os, 10.0, 0.0
188-Os, 7.6, 0.0
189-Os, 10.7, 0.0
190-Os, 11.0, 0.0
192-Os, 11.5, 0.0
Ir, 10.6, 0.0
Pt, 9.6, 0.0
190-Pt, 9.0, 0.0
192-Pt, 9.9, 0.0
194-Pt, 10.55, 0.0
195-Pt, 8.83, 0.0
196-Pt, 9.89, 0.0
198-Pt, 7.8, 0.0
Au, 7.63, 0.0
197-Au, 7.63, 0.0
Hg, 12.692, 0.0
196-Hg, 30.3, 0.0
199-Hg, 16.9, 0.0
Tl, 8.776, 0.0
203-Tl, 6.99, 0.0
205-Tl, 9.52, 0.0
Pb, 9.405, 0.0
204-Pb, 9.9, 0.0
206-Pb, 9.22, 0.0
207-Pb, 9.28, 0.0
208-Pb, 9.5, 0.0
Bi, 8.532, 0.0
209-Bi, 8.532, 0.0
Ra, 10.0, 0.0
226-Ra, 10.0, 0.0
Th, 10.31, 0.0
232-Th, 10.31, 0.0
Pa, 9.1, 0.0
231-Pa, 9.1, 0.0
U, 8.417, 0.0
233-U, 10.1, 0.0
234-U, 12.4, 0.0
235-U, 10.47, 0.0
238-U, 8.402, 0.0
Np, 10.55, 0.0
237-Np, 10.55, 0.0
Pu, 14.1, 0.0
239-Pu, 7.7, 0.0
240-Pu, 3.5, 0.0
242-Pu, 8.1, 0.0
Am, 8.3, 0.0
243-Am, 8.3, 0.0
Cm, 9.5, 0.0
246-Cm, 9.3, 0.0
248-Cm, 7.7, 0.0
