# Neutron scattering lengths: http://www.ncnr.nist.gov/resources/n-lengths/
# X-ray Form factor: ITC, p578
# Magnetic Form Factor: https://www.ill.eu/sites/ccsl/ffacts/ffactnode4.html
# Element weights and radii: http://en.wikipedia.org/wiki/List_of_elements_by_atomic_properties
# X-ray edges: From http://xdb.lbl.gov/Section1/Table_1-1.pdf
  Z Element Name           Coh_b    Inc_b      Nabs     Nscat    a1         b1         a2         b2         a3         b3         a4         b4         c          j0_A     j0_a     j0_B     j0_b     j0_C     j0_c     j0_D     Radii ValenceE Weight      K       L1      L2      L3      M1      M2      M3      M4      M5      N1      N2      N3
 18 Ar      Argon          1.9090      nan     0.6750   0.6830   7.484500   0.907200   6.772300  14.840700   0.653900  43.898300   1.644200  33.392900   1.444500   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000  71.000       8  39.948000   3.206   0.326   0.251   0.248   0.029   0.016   0.016   0.000   0.000   0.000   0.000   0.000
 19 K       Potassium      3.6700      nan     2.1000   1.9600   8.218600  12.794900   7.439800   0.774800   1.051900 213.187000   0.865900  41.684100   1.422800   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 220.000       1  39.098300   3.608   0.379   0.297   0.295   0.035   0.018   0.018   0.000   0.000   0.000   0.000   0.000
 20 Ca      Calcium        4.7000      nan     0.4300   2.8300   8.626600  10.442100   7.387300   0.659900   1.589900  85.748400   1.021100 178.437000   1.375100   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 180.000       2  40.078000   4.038   0.438   0.350   0.346   0.044   0.025   0.025   0.000   0.000   0.000   0.000   0.000
 21 Sc      Scandium      12.2900  -6.0000    27.5000  23.5000   9.189000   9.021300   7.367900   0.572900   1.640900 136.108000   1.468000  51.353100   1.332900   0.2512  90.0296   0.3290  39.4021   0.4235  14.3222  -0.0043 160.000       2  44.955912   4.492   0.498   0.404   0.399   0.051   0.028   0.028   0.000   0.000   0.000   0.000   0.000
 22 Ti      Titanium      -3.4380      nan     6.0900   4.3500   9.759500   7.850800   7.355800   0.500000   1.699100  35.633800   1.902100 116.105000   1.280700   0.4657  33.5898   0.5490   9.8791  -0.0291   0.3232   0.0123 140.000       2  47.867000   4.966   0.561   0.460   0.454   0.059   0.033   0.033   0.000   0.000   0.000   0.000   0.000
 23 V       Vanadium      -0.3824      nan     5.0800   5.1000  10.297100   6.865700   7.351100   0.438500   2.070300  26.893800   2.057100 102.478000   1.219900   0.4086  28.8109   0.6077   8.5437  -0.0295   0.2768   0.0123 135.000       2  50.941500   5.465   0.627   0.520   0.512   0.066   0.037   0.037   0.000   0.000   0.000   0.000   0.000
 24 Cr      Chromium       3.6350      nan     3.0500   3.4900  10.640600   6.103800   7.353700   0.392000   3.324000  20.262600   1.492200  98.739900   1.183200   0.1135  45.1990   0.3481  19.4931   0.5477   7.3542  -0.0092 140.000       1  51.996100   5.989   0.696   0.584   0.574   0.074   0.042   0.042   0.000   0.000   0.000   0.000   0.000
 25 Mn      Manganese     -3.7300   1.7900    13.3000   2.1500  11.281900   5.340900   7.357300   0.343200   3.019300  17.867400   2.244100  83.754300   1.089600   0.2438  24.9629   0.1472  15.6728   0.6189   6.5403  -0.0105 140.000       2  54.938045   6.539   0.769   0.650   0.639   0.082   0.047   0.047   0.000   0.000   0.000   0.000   0.000
 26 Fe      Iron           9.4500      nan     2.5600  11.6200  11.769500   4.761100   7.357300   0.307200   3.522200  15.353500   2.304500  76.880500   1.036900   0.0706  35.0085   0.3589  15.3583   0.5819   5.5606  -0.0114 140.000       2  55.845000   7.112   0.845   0.720   0.707   0.091   0.053   0.053   0.000   0.000   0.000   0.000   0.000
 27 Co      Cobalt         2.4900  -6.2000    37.1800   5.6000  12.284100   4.279100   7.340900   0.278400   4.003400  13.535900   2.348800  71.169200   1.011800   0.4139  16.1616   0.6013   4.7805  -0.1518   0.0210   0.1345 135.000       2  58.933195   7.709   0.925   0.793   0.778   0.101   0.059   0.060   0.000   0.000   0.000   0.000   0.000
