# Neutron scattering lengths: http://www.ncnr.nist.gov/resources/n-lengths/
# X-ray Form factor: ITC, p578
# Magnetic Form Factor: https://www.ill.eu/sites/ccsl/ffacts/ffactnode4.html
# Element weights and radii: http://en.wikipedia.org/wiki/List_of_elements_by_atomic_properties
# X-ray edges: From http://xdb.lbl.gov/Section1/Table_1-1.pdf
  Z Element Name           Coh_b    Inc_b      Nabs     Nscat    a1         b1         a2         b2         a3         b3         a4         b4         c          j0_A     j0_a     j0_B     j0_b     j0_C     j0_c     j0_D     Radii ValenceE Weight      K       L1      L2      L3      M1      M2      M3      M4      M5      N1      N2      N3
 65 Tb      Terbium        7.3800  -0.1700    23.4000   6.8400  25.897600   2.242560  18.218500   0.196143  14.316700  12.664800   2.953540 115.362000   3.583240   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 175.000       2 158.925350  51.996   8.708   8.252   7.514   1.968   1.768   1.611   1.277   1.241   0.396   0.322   0.284
 66 Dy      Dysprosium    16.9000      nan   994.0000  90.3000  26.507000   2.180200  17.638300   0.202172  14.559600  12.189900   2.965770 111.874000   4.297280   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 175.000       2 162.500000  53.789   9.046   8.581   7.790   2.047   1.842   1.676   1.333   1.293   0.414   0.334   0.293
 67 Ho      Holmium        8.0100  -1.7000    64.7000   8.4200  26.904900   2.070510  17.294000   0.197940  14.558300  11.440700   3.638370  92.656600   4.567960   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 175.000       2 164.930320  55.618   9.394   8.918   8.071   2.128   1.923   1.741   1.392   1.351   0.432   0.344   0.308
 68 Er      Erbium         7.7900      nan   159.0000   8.7000  27.656300   2.073560  16.428500   0.223545  14.977900  11.360400   2.982330 105.703000   5.920460   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 175.000       2 167.259000  57.486   9.751   9.264   8.358   2.207   2.006   1.812   1.453   1.409   0.450   0.366   0.320
 69 Tm      Thulium        7.0700   0.9000   100.0000   6.3800  28.181900   2.028590  15.885100   0.238849  15.154200  10.997500   2.987060 102.961000   6.756210   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 175.000       2 168.934210  59.390  10.116   9.617   8.648   2.307   2.090   1.885   1.515   1.468   0.471   0.386   0.333
 70 Yb      Ytterbium     12.4300      nan    34.8000  23.4000  28.664100   1.988900  15.434500   0.257119  15.308700  10.664700   2.989630 100.417000   7.566720   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 175.000       2 173.054000  61.332  10.486   9.978   8.944   2.398   2.173   1.950   1.576   1.528   0.480   0.389   0.340
 71 Lu      Lutetium       7.2100      nan    74.0000   7.2000  28.947600   1.901820  15.220800   9.985190  15.100000   0.261033   3.716010  84.329800   7.976280   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 175.000       2 174.966800  63.314  10.870  10.349   9.244   2.491   2.264   2.024   1.639   1.589   0.507   0.412   0.359
 72 Hf      Hafnium        7.7000      nan   104.1000  10.2000  29.144000   1.832620  15.172600   9.599900  14.758600   0.275116   4.300130  72.029000   8.581540   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 155.000       2 178.490000  65.351  11.271  10.739   9.561   2.601   2.365   2.108   1.716   1.662   0.538   0.438   0.381
 73 Ta      Tantalum       6.9100      nan    20.6000   6.0100  29.202400   1.773330  15.229300   9.370460  14.513500   0.295977   4.764920  63.364400   9.243540   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 145.000       2 180.947880  67.416  11.682  11.136   9.881   2.708   2.469   2.194   1.793   1.735   0.563   0.463   0.401
 74 W       Tungsten       4.8600      nan    18.3000   4.6000  29.081800   1.720290  15.430000   9.225900  14.432700   0.321703   5.119820  57.056000   9.887500   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 135.000       2 183.840000  69.525  12.100  11.544  10.207   2.820   2.575   2.281   1.872   1.809   0.594   0.490   0.424
 75 Re      Rhenium        9.2000      nan    89.7000  11.5000  28.762100   1.671910  15.718900   9.092270  14.556400   0.350500   5.441740  52.086100  10.472000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 135.000       2 186.207000  71.676  12.527  11.959  10.535   2.932   2.682   2.367   1.949   1.883   0.625   0.519   0.447
 76 Os      Osmium        10.7000      nan    16.0000  14.7000  28.189400   1.629030  16.155000   8.979480  14.930500   0.382661   5.675890  48.164700  11.000500   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 130.000       2 190.230000  73.871  12.968  12.385  10.871   3.049   2.792   2.457   2.031   1.960   0.658   0.549   0.471
 77 Ir      Iridium       10.6000      nan   425.0000  14.0000  27.304900   1.592790  16.729600   8.865530  15.611500   0.417916   5.833770  45.001100  11.472200   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 135.000       2 192.217000  76.111  13.419  12.824  11.215   3.174   2.909   2.551   2.116   2.040   0.691   0.578   0.496
 78 Pt      Platinum       9.6000      nan    10.3000  11.7100  27.005900   1.512930  17.763900   8.811740  15.713100   0.424593   5.783700  38.610300  11.688300   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 135.000       1 195.084000  78.395  13.880  13.273  11.564   3.296   3.027   2.645   2.202   2.122   0.725   0.609   0.519
 79 Au      Gold           7.6300  -1.8400    98.6500   7.7500  16.881900   0.461100  18.591300   8.621600  25.558200   1.482600   5.860000  36.395600  12.065800   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 135.000       1 196.966569  80.725  14.353  13.734  11.919   3.425   3.148   2.743   2.291   2.206   0.762   0.643   0.546
 80 Hg      Mercury       12.6920      nan   372.3000  26.8000  20.680900   0.545000  19.041700   8.448400  21.657500   1.572900   5.967600  38.324600  12.608900   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 150.000       2 200.590000  83.102  14.839  14.209  12.284   3.562   3.279   2.847   2.385   2.295   0.802   0.680   0.577
 81 Tl      Thallium       8.7760      nan     3.4300   9.8900  27.544600   0.655150  19.158400   8.707510  15.538000   1.963470   5.525930  45.814900  13.174600   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 190.000       3 204.383300  85.530  15.347  14.698  12.658   3.704   3.416   2.957   2.485   2.389   0.846   0.721   0.610
 82 Pb      Lead           9.4050      nan     0.1710  11.1180  31.061700   0.690200  13.063700   2.357600  18.442000   8.618000   5.969600  47.257900  13.411800   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 180.000       4 207.200000  88.005  15.861  15.200  13.035   3.851   3.554   3.066   2.586   2.484   0.892   0.762   0.643
 83 Bi      Bismuth        8.5320      nan     0.0338   9.1560  33.368900   0.704000  12.951000   2.923800  16.587700   8.793700   6.469200  48.009300  13.578200   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 160.000       5 208.980400  90.524  16.388  15.711  13.419   3.999   3.696   3.177   2.688   2.580   0.939   0.805   0.679
 84 Po      Polonium          nan   0.2590        nan      nan  34.672600   0.700999  15.473300   3.550780  13.113800   9.556420   7.025880  47.004500  13.677000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 190.000       6 209.000000  93.105  16.939  16.244  13.814   4.149   3.854   3.302   2.798   2.683   0.995   0.851   0.705
 85 At      Astatine          nan      nan        nan      nan  35.316300   0.685870  19.021100   3.974580   9.498870  11.382400   7.425180  45.471500  13.710800   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000  -1.000       7 210.000000  95.730  17.493  16.785  14.214   4.317   4.008   3.426   2.909   2.787   1.042   0.886   0.740
 86 Rn      Radon             nan      nan        nan  12.6000  35.563100   0.663100  21.281600   4.069100   8.003700  14.042200   7.443300  44.247300  13.690500   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 120.000       8 222.000000  98.404  18.049  17.337  14.619   4.482   4.159   3.538   3.022   2.892   1.097   0.929   0.768
 87 Fr      Francium          nan      nan        nan      nan  35.929900   0.646453  23.054700   4.176190  12.143900  23.105200   2.112530 150.645000  13.724700   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000  -1.000       1 223.000000 101.137  18.639  17.907  15.031   4.652   4.327   3.663   3.136   3.000   1.153   0.980   0.810
 88 Ra      Radium        10.0000   0.0000    12.8000  13.0000  35.763000   0.616341  22.906400   3.871350  12.473900  19.988700   3.210970 142.325000  13.621100   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 215.000       2 226.000000 103.922  19.237  18.484  15.444   4.822   4.490   3.792   3.248   3.105   1.208   1.058   0.879
 89 Ac      Actinium          nan      nan        nan      nan  35.659700   0.589092  23.103200   3.651550  12.597700  18.599000   4.086550 117.020000  13.526600   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 195.000       2 227.000000 106.755  19.840  19.083  15.871   5.002   4.656   3.909   3.370   3.219   1.269   1.080   0.890
 90 Th      Thorium       10.3100   0.0000     7.3700  13.3600  35.564500   0.563359  23.421900   3.462040  12.747300  17.830900   4.807030  99.172200  13.431400   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 180.000       2 232.038060 109.651  20.472  19.693  16.300   5.182   4.830   4.046   3.491   3.332   1.330   1.168   0.966
 91 Pa      Protactinium   9.1000      nan   200.6000  10.5000  35.884700   0.547751  23.294800   3.415190  14.189100  16.923500   4.172870 105.251000  13.428700   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 180.000       2 231.035880 112.601  21.105  20.314  16.733   5.367   5.001   4.174   3.611   3.442   1.387   1.224   1.007
 92 U       Uranium        8.4170      nan     7.5700   8.9080  36.022800   0.529300  23.412800   3.325300  14.949100  16.092700   4.188000 100.613000  13.396600   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 175.000       2 238.028910 115.606  21.757  20.948  17.166   5.548   5.182   4.303   3.728   3.552   1.439   1.271   1.043
 93 Np      Neptunium     10.5500      nan   175.9000  14.5000  36.187400   0.511929  23.596400   3.253960  15.640200  15.362200   4.185500  97.490800  13.357300   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 175.000       2 237.000000 115.606  21.757  20.948  17.166   5.548   5.182   4.303   3.728   3.552   1.439   1.271   1.043
 94 Pu      Plutonium         nan      nan        nan      nan  36.525400   0.499384  23.808300   3.263710  16.770700  14.945500   3.479470 105.980000  13.381200   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 175.000       2 244.000000 115.606  21.757  20.948  17.166   5.548   5.182   4.303   3.728   3.552   1.439   1.271   1.043
 95 Am      Americium      8.3000   2.0000    75.3000   9.0000  36.670600   0.483629  24.099200   3.206470  17.341500  14.313600   3.493310 102.273000  13.359200   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000 175.000       2 243.000000 115.606  21.757  20.948  17.166   5.548   5.182   4.303   3.728   3.552   1.439   1.271   1.043
